0x80000538:slli   s11,t3,6            s11=0x00000001<<6=0x00000040
0x8000053c:slli   t6,zero,7           t6=0x00000000<<7=0x00000000
0x80000540:slli   gp,tp,8             gp=0x00000003<<8=0x00000300
0x80000544:srli   t2,s0,1             t2=0x00000011>>1=0x00000008
0x80000548:srli   a1,a2,2             a1=0x00000032>>2=0x0000000c
0x8000054c:srli   a5,a6,3             a5=0x00000011>>3=0x00000002
0x80000550:srli   s3,s4,4             s3=0x00000001>>4=0x00000000
0x80000554:srli   s7,s8,5             s7=0x00000003>>5=0x00000000
0x80000558:srli   s11,t3,6            s11=0x00000001>>6=0x00000000
0x8000055c:srli   t6,zero,7           t6=0x00000000>>7=0x00000000
0x80000560:srli   gp,tp,8             gp=0x00000003>>8=0x00000000
0x80000564:srai   t2,s0,1             t2=0x00000011>>>1=0x00000008
0x80000568:srai   a1,a2,2             a1=0x00000032>>>2=0x0000000c
0x8000056c:srai   a5,a6,3             a5=0x00000011>>>3=0x00000002
0x80000570:srai   s3,s4,4             s3=0x00000001>>>4=0x00000000
0x80000574:srai   s7,s8,5             s7=0x00000003>>>5=0x00000000
0x80000578:srai   s11,t3,6            s11=0x00000001>>>6=0x00000000
0x8000057c:srai   t6,zero,7           t6=0x00000000>>>7=0x00000000
0x80000580:srai   gp,tp,8             gp=0x00000003>>>8=0x00000000
0x80000584:lui    gp,0x10000          gp=0x10000000
0x80000588:lui    t1,0x10001          t1=0x10001000
0x8000058c:lui    s1,0x10002          s1=0x10002000
